name,phone,website,category,address
"Radhas","","","bakery"," ,  "
"ATR Dental Clinic","","","dentist"," ,  "
"Royal Collection","","","clothes"," ,  "
"Miracle Homeopathy And Ayurveda","","","clinic"," ,  "
"Samudra Infracon Pvt Ltd","","","estate_agent"," ,  "
"Rich Feel","","","furniture"," ,  "
"Sweet Chariot","","","bakery"," Vijayanagar Water Tank Road, Bangalore 560040"
"Sri Raghavendra Medicals","","","pharmacy"," Vijayanagar Water Tank Road, Bangalore 560040"
"Megha Medicals and General Stores","","","pharmacy"," Nagarabhavi Road, Bangalore 560040"
"Chaitanya Uphara","","","fast_food"," Nagarabhavi Road,  560040"
"Iyengar Bakery","","","bakery"," 3rd Main Saraswathi nagar, Bangalore 560040"
"Saraswati Medicals","","","pharmacy"," 3rd Main Saraswathi nagar, Bangalore 560040"
"Star Bazar","","","supermarket"," Nagarabhavi Road, Bangalore 560040"
"Five Star Chicken","","","fast_food"," Nagarabhavi Road, Bangalore 560040"
"MedPlus","","","pharmacy"," Nagarabhavi Road, Bangalore 560040"
"By Two Coffe","","","fast_food"," Nagarabhavi Road, Bangalore 560079"
"Hot Coffe","","","fast_food"," Chord Road, Bangalore 560040"
"Co Optex","","","clothes"," Chord Road, Bangalore 560040"
"Arya Bhangy Hand Carved Doors","+91 80 2227 3362","","furniture"," ,  "
"Faasos's","","","fast_food"," ,  "
"National Medical Center","","","clinic"," ,  "
"Dr. Patel's Homeopathy Clinic","","","clinic"," ,  "
"OTS Officetech Systems Pvt Ltd","","","furniture"," ,  "
"The Crown Cricketer","","","sports"," ,  "
"Balaji Pharma","","","pharmacy"," ,  "
"Acme Fitness","","","sports"," ,  "
"Chetak Pharmacy","","","pharmacy"," ,  "
"Herman Miller","","","furniture"," ,  "
"Rusayil Bakery","","","bakery"," ,  "
"Sri Lakshmi Foods Court","","","restaurant"," ,  "
"St. Mary's Pharmacy","","","pharmacy"," ,  "
"St. Mary's Clinic","","","clinic"," ,  "
"R. P. Kamat's","","","restaurant"," ,  "
"Lenovo Authorised Mobile Service Center","","","electronics"," Chinmaya Mission Hospital Road,  "
"Shree Yummy's Palace","","","restaurant"," Sampige Road,  "
"Saravana Store","","","convenience"," ,  "
"Iyengars Bakery","","","bakery"," ,  "
"Nisha Supermart","","","supermarket"," ,  "
"Sri Murugan","","","convenience"," ,  "
"Guru Darshan","","","fast_food"," ,  "
"Shiva Medicals","","","pharmacy"," ,  "
"Spark","","","clothes"," ,  "
"The Medicals","","","pharmacy"," ,  "
"Arirang Korean Restaurant","","","restaurant"," ,  "
"Health Care Global","","","hospital"," ,  "
"Seekers Cafe","","","cafe"," Hosur road,  "
"Khan Saheb Grills and Rolls","","","restaurant"," ,  "
"Wrangler","","","clothes"," Commercial Street,  "
"Moksh Studio","","","clothes"," Kamaraj Road,  "
"Moksh","","","clothes"," Kamaraj Road,  "
"Nature's Basket","+91 80 41 31 74 01","http://www.naturesbasket.co.in/","supermarket"," , Bengaluru 560034"
"SN Dental Avenue","","","dentist"," Subbanna Garden Main road, Bangalore 560040"
"Apollo","","","pharmacy"," Subbanna Garden Main road, Bangalore 560040"
"Hotel Dil Coorg","","","restaurant"," 17th E Cross,  "
"Safa Super Bazar","","","convenience"," ,  "
"Al Bek","08023461077","","restaurant"," Sampige Road,  "
"Ambur Hot Dum Biryani","","","fast_food"," ,  "
"Gents Camp","","","clothes"," ,  "
"KP Stores","","","convenience"," ,  "
"Ladies Camp","","","clothes"," ,  "
"Rasna Stores","","","convenience"," ,  "
"Santosh Fast Food","","","fast_food"," ,  "
"Venus Bakes","","","bakery"," ,  "
"Aashuhadi Chemists and Druggists","","","pharmacy"," ,  "
"Annapoorneshwari Restaurant","","","restaurant"," ,  "
"LJ Iyengar Bakery","","","bakery"," ,  "
"Prince Selection","","","clothes"," ,  "
"Sshiradi Sai Family Care Clinic","","","clinic"," ,  "
"Little Orissa","","","restaurant"," ,  "
"Asha Sweets","","","bakery"," ,  "
"Shristi Sagar","","","restaurant"," 8th Main Road, Bangalore 560055"
"Nilgiris 1905","","","convenience"," 6th Main Road,  "
"Chandana Bakery","","","cafe"," ,  "
"Medreich","","","pharmacy"," ,  "
"Sri Krishna Sagar","","","restaurant"," ,  "
"SodaBottleOpenerWala","","","restaurant","25/4 Lavelle Road, Bangalore 560001"
"Lazy Suzy","","","cafe"," 80 Feet Road, Bangalore 560075"
"Bakery","","","fast_food"," ,  "
"guru bakery","","","bakery"," ,  "
"Chirayu medical shop","","","pharmacy"," ,  "
"manju wines","","","bar"," ,  "
"Total","","http://morestore.com/","supermarket","97 Old Airport Road, Bangalore 560017"
"Favourite Shop","080-22956334","","clothes","GF-04 Kemp Fort Mall,  "
"Fila","","","clothes","#0-05 ,  "
"Bombay Dyeing","808-40918647","","furniture","#0-16 ,  "
"Jockey","080-40947725","","clothes","#0-18 ,  "
"Soch","080-22956333","","clothes","#0-19 ,  "
"Dasaprakash","","","restaurant"," ,  "
"Nature's Basket","","https://www.naturesbasket.co.in/","ice_cream"," 16th Cross Street, bangalore 560080"
"Onestà","+918049653087","http://www.onesta-onesta.com/","restaurant","501 Chinmaya Mission Hospital Road, Bengaluru 560038"
"Bharathi Restaurant","","","fast_food"," ,  "
"Manju Electricals","","","electronics"," ,  "
"Royal Fast Food","","","fast_food"," ,  "
"Ashok Textiles","","","clothes"," ,  "
"Balaji Electricals","","","electronics"," ,  "
"Bob's Chinese Fast Food","","","fast_food"," ,  "
"M Srinivas Electricals","","","electronics"," ,  "
"TMS Provision Stores","","","convenience"," ,  "
"Fashion Point Cloth Store","","","clothes"," ,  "
"Fresh Bakery Cake","","","bakery"," ,  "
"New Hindustan Furnitures","","","furniture"," ,  "
"Public Distribution Shop","","","convenience"," ,  "
"Sri Krishna Sagar","","","restaurant"," Naganarapalaya Main Road, Bangalore 560093"
"Levi Jeans","","","clothes"," ,  "
"Manyavar","+91 80 41211180","https://www.manyavar.com/","clothes","338 1st Cross Road, Bangalore 79"
"People","","","clothes"," Siddhaiah Puranik Road, Bangalore 560079"
"Siddiqu Kabab Center","","","fast_food"," ,  "
"Bansuri","","","fast_food"," ,  "
"Gundappa Bakery","","","bakery"," ,  "
"Mahadeshwara Chats","","","fast_food"," ,  "
"Priyadarshini Grand","","","restaurant"," ,  "
"Gulecha Dental Care","","https://www.gulechadental.com/","hospital","32/29 4th Cross Road, KV Layout, Jayanagar 4th Block, Bangalore 560011"
"Bangalore Medical","","","pharmacy"," Hosahalli Main Road,  "
"Khawja Hotel","","","restaurant"," Hosahalli Main Road,  "
"star hospital ","","","pharmacy"," Hosahalli Main Road,  "
"Indian Biryani","","","fast_food"," ,  "
"Halli Mani Rotti","","","fast_food"," ,  "
"Chaithanya","","","fast_food"," ,  "
"Iyengar Bakery","","","bakery"," ,  "
"3G Medicals","","","pharmacy"," ,  "
"Dr. Rama's Test Tube Baby Centre","","","clinic"," ,  "
"Juice Junction","","","fast_food"," ,  "
"Kia","","","clothes"," ,  "
"Bogineni","","","clothes"," ,  "
"Hotel Orange tree Residency","","","restaurant"," ,  "
"Spoonful Sugar Pastisserie & cafè","","","cafe"," ,  "
"Dento Facial","","","dentist"," ,  "
"Dr. Batra's","","","clinic"," ,  "
"Paradise Biryani","","","restaurant"," ,  "
"The Rolling Pin","","","bakery"," ,  "
"Zucco Restro Bar","","","pub"," ,  "
"Coorg Restaurant","","","restaurant"," ,  "
"Punjab Khazana","","","fast_food"," ,  "
"Cacoons Fashion","","","clothes"," ,  "
"New Ambur Hot Dum Biryani","","","fast_food"," ,  "
"Jay Medicals","","","pharmacy"," ,  "
"Singapore Bazaar","","","clothes"," ,  "
"NFS","","","convenience"," ,  "
"Pavan Pharma","","","pharmacy"," ,  "
"Chandra Medicals","","","pharmacy"," ,  "
"Janatha","","","clothes"," ,  "
"Ajanta","","","clothes"," ,  "
"Jose Mess","","","restaurant"," ,  "
"Shanti Sagar","","","restaurant"," Saint John's Church Road,  "
"Kritunga Restaurant","","","restaurant"," ,  "
"Vijayalakshmi Silks","","","clothes"," ,  "
"The Beer Joint Pub & Restaurant","","","bar"," ,  "
"KDC Dental Clinic","+918296879540","","dentist","BR plaza SR Layout Main Road, Bengaluru 560017"
"Murugeshpalaya Medicals","","","pharmacy","22 Wind Tunnel Road,  "
"Srinivasa Medicals","","","pharmacy","5 Wind Tunnel Road,  "
"Kashif Medical","","","pharmacy"," Hosahalli Main Road,  "
"Ashvini","","","clinic"," Pipeline Road,  "
"Mysore Medical","","","pharmacy"," Hosahalli Main Road,  "
"Mustafa Doctor","","","doctors"," Hosahalli Main Road,  "
"Shahid Doctor","","","clinic"," ,  "
"ladies dress dulhan ","","","clothes"," ,  "
"Bismillah Tea Hotel","","","cafe"," ,  "
"Ayub Bakery","","","bakery"," ,  "
"saty doctor","","","clinic"," ,  "
"Manjunatha Bakery","","","bakery"," Hosahalli Main Road,  "
"Unity Hospital","","","pharmacy","12th cross Hosahalli Main Road,  "
"Shifa Medical","","","pharmacy"," Hosahalli Main Road,  "
"Khalil Tea Hotel","","","cafe"," Hosahalli Main Road,  "
"Bombay tea hotel","","","cafe"," ,  "
"Global Medical","","","pharmacy"," ,  "
"Ayenger Bakery","","","bakery"," ,  "
"Mani's Dum Biriyani","","","restaurant"," ,  "
"Naiyanar Bakery","","","bakery"," ,  "
"Biriyani Zone","","","restaurant"," ,  "
"My Family Doctor","","","clinic"," 5th Main Road,  "
"Magizh Groceries","","","supermarket"," ,  "
"The Kabab Company","","","restaurant"," Indiranagar Double Road (Paramahansa Yogananda road),  "
"CGHS Dispensary No.10","","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","clinic"," Dr. APJ Abdul Kalam Road,  560093"
"The Book Room","","","books"," ,  "
"Srivaari Drug House","","","pharmacy","435 1st Cross Road,  "
"Hot Soup & Bowl","+918065970773","","restaurant","#33 ,  "
"Royal Bakery","","","bakery","1051/A 2nd Main Road,  "
"Apollo Pharmacy","","","pharmacy"," PWD Road,  "
"S S Clinic","","","doctors"," PWD Road,  "
"Reliance Fresh","","","supermarket"," PWD Road,  "
"Smile Dental Clinic","","","clinic"," Kaggadasspura Main Road,  "
"Sai Smile Venue Dentist","","","dentist"," ,  "
"Trust medical store","","","pharmacy"," ,  "
"Homeopathic Self Reliance Forum","","","clinic"," ,  "
"Sree Manjunatha Stores","","","supermarket","37 Rama Temple Road,  "
"Max Pharma","","","pharmacy"," Mahadevapura Main Road,  "
"Paani Kum Chai","","","fast_food"," Tilak Nagar Main Road,  "
"Bangalore Mandarin","","","restaurant"," ,  "
"Pakvan","","","restaurant"," ,  560003"
"Meera Delicacy","","","restaurant"," ,  "
"Sports Line","","","sports"," Whitefield Road,  "
"Crunch Sip","","","fast_food"," Sarakki Main Road (9th Cross),  "
"Rajbal Skin Clinic","","","hospital"," 4th B cross, 7th C Main, Bangalore 560043"
"Ksheera Sagar","","","fast_food"," ,  "
"Adishwar India Limited","080-41610910","https://www.adishwarestore.com/","electronics","No 14, 10th Vidhya Vardhaka Sangha Road,  "
"Suryawanshi","080 49653148","","restaurant","Srinivasan Towers Double Road, Indiranagar, Bangalore 560038"
"Brindavan Aerion Hospitals","","","clinic"," ,  560018"
"Street side food","","","fast_food"," ,  "
"Donne Biriyani Hotel","","","restaurant"," ,  "
"JMR Pasha","","","clothes"," ,  "
"Safa Furniture","","","furniture"," ,  "
"MPS Bakery","","","bakery"," ,  "
"Hyderabad Biryani","","","restaurant"," , Bangalore 560092"
"Svensens Icrecream","","","cafe"," ,  "
"Mane Holige Kuruk thindi","+91 97426 72871","","restaurant"," 7 Main,  "
"Prashanth Hospital","","http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf","hospital"," ,  560068"
"Sapna Bakery","","","fast_food"," ,  "
"Green Onion","","","restaurant"," ,  "
"Care Pharma","","","pharmacy"," ,  "
"Thilags Market","","","supermarket"," ,  "
"Yogeshwara Clinic","","","clinic"," ,  "
"Kaapi Katte","","","restaurant"," ,  "
"OSR Andhra Spice","","","restaurant"," ,  "
"Tiffin","","","fast_food"," ,  "
"Sutradhar","","","books"," ,  "
"D'zoa","","","clothes"," ,  "
"Sri Raghavendra Darshini","","","restaurant"," ,  "
"Coffee Beans","","","fast_food"," ,  "
"Swathi Deluxe","","","restaurant"," Panathur Main Road,  560103"
"Skanda","","","clothes"," ,  "
"Mamta Provision store","","","convenience"," ,  "
"Lake View Supermarket","","","supermarket"," ,  "
"Moritz Nano Restaurant","","","restaurant"," ,  "
"Garden City Polyclinic","","","clinic"," ,  "
"Care Medicals","","","pharmacy"," Kaggadasspura Main Road,  "
"Nanak","","","restaurant"," ,  "
"New Luxury Furniture","","","furniture"," ,  "
"Campus Mart","","","convenience"," 100 Feet Outer Ring Road, Bengaluru 560085"
"Nescafe","","","cafe"," 100 Feet Outer Ring Road, Bengaluru 560085"
"Prasad Icecream Parlour","","","cafe"," ,  "
"Toothzone Dental Studio","","","doctors"," ,  "
"Watson's Ulsoor","","","pub"," Assayee Road,  "
"Cafe Thulp","","","cafe"," ,  "
"Sree Srinivasa Bhavan","","","restaurant"," Immadihalli Road,  "
"AL-BEK","","","restaurant","118/47 Marenahalli Road,  560067"
"Curry Leaves","","","restaurant"," East End Main Road,  "
"Parimala","","","supermarket"," East End Main Road,  "
"Presto","","","fast_food"," ,  "
"Casa Fresco by Tea Brew","","","restaurant","172 2nd cross domlur 2nd stage,  "
"Oye Lassi","","","cafe"," ,  "
"Reddy Electricals","","","electronics","596 15th Cross Road,  560003"
"Maha Bazar","","","supermarket"," ,  "
"Dianova Diabetes Center and Hospital","","","hospital"," ,  "
"Udupi Upachaar Veg","","","restaurant","33 15th Cross Road,  560003"
"Reliance trends","","","clothes"," Varthur Road,  "
"Kritunga restaurant","","","restaurant"," I T P L Main Road,  "
"Star Bazar","","","supermarket"," I T P L Main Road,  "
"Wokanaka","","","fast_food"," Varthur Road,  "
"Basaveshwara Khanavali","","","fast_food"," I T P L Main Road,  "
"Select Bakery and Stores","","","bakery"," Chinmaya Mission Hospital Road,  "
"Titan","","","convenience"," ,  "
"Future Fitness","","","sports"," Chinmaya Mission Hospital Road,  "
"New Shanthi Sagar","","","restaurant"," Chinmaya Mission Hospital Road,  "
"Vijaya Speciality Clinic","","","clinic"," Chinmaya Mission Hospital Road,  "
"Crowns + Ridges","","","dentist"," ,  "
"Borg","","","electronics","47 Chinmaya Mission Hospital Road,  "
"T.K. News Agencies","","","books"," Chinmaya Mission Hospital Road,  "
"Satin Soft Salon and Boutique","","","clothes"," ,  "
"Sri Krishna Akarshan Boutique","","","clothes"," ,  "
"Delicacy","","","restaurant"," Kothnur Main Road,  "
"Goli Vadapav","","","fast_food"," Kothnur Main Road,  "
"Lovely Fashion","","","clothes"," Kothnur Main Road,  "
"Momo Jojo","","","fast_food"," Kothnur Main Road,  "
"Aiswarya Malayali Hotel","","","restaurant"," Kadugodi Main Road,  "
"Mayura","","","bakery"," ,  "
"Nandini Bakery","","","bakery"," ,  560097"
"Biriyani Zone","","","restaurant"," 19th Main Road,  "
"Kiran Homeopathic","","","clinic"," 6th Main Road,  "
"Sri Venkateswara Bakery and Travels","","","bakery"," ,  "
"Ameena Medical centre","","","hospital","111(3/1) 18th Cross Road,  "
"Holige Mane","","","fast_food"," 30th Cross, 7th Main,  "
"Pingara Restaurant & Bar","","","bar"," ,  "
"Sundeep Medical Shop","","","pharmacy"," ,  "
"Brigade Dreams","","","restaurant"," ,  "
"Model Medical Stores","","","pharmacy"," ,  "
"Chariot","","","restaurant"," ,  "
"Dunkin'","","","fast_food"," ,  "
"Tibet Bazaar","","","clothes"," ,  "
"Redington","","","electronics"," ,  "
"Green Apple","","","pharmacy"," ,  "
"Skanda Sagar","","","fast_food"," ,  "
"Shree Guru Ganesh Pharma","","","pharmacy"," ,  "
"Laban Palace","","","restaurant"," ,  "
"The Homeo Centre","","","pharmacy"," ,  "
"Srinidhi Sagar Foodline","","","restaurant"," ,  "
"Rayaru's Kitchen","","","restaurant"," ,  "
"Byte","","","restaurant"," ,  "
"SLV Sagar Pharma","","","pharmacy"," ,  "
"Sultania Arts Emporium","","","clothes"," ,  "
"Asha Nursing Home","","","clinic"," ,  560043"
"Hotel Metropole","","","restaurant"," ,  "
"Elite Furnishers","","","furniture"," ,  "
"Light & Style","","","electronics"," ,  "
"Athithi Gruha","","","restaurant"," Kothnur Main Road,  "
"Herz Care Medisolutions","","","doctors"," ,  "
"Nilgiri Supermarket","","","supermarket"," Nandi Durg Road,  560046"
"Pahala Rasagola shop","","","cafe","272 17th D Main Rd, 5th Block, Koramangala, Bangalore "
"Fortis HealthWorld","","","pharmacy"," ,  "
"Chulha Bhatti","","","restaurant"," ,  "
"Madurai Idli Shop","","","fast_food"," ,  "
"Dinner Friends","","","restaurant"," ,  "
"Bistrobar","","","pub"," ,  "
"Treat","","","restaurant"," ,  "
"Chung's Pavilion","","","restaurant"," ,  "
"Tasty Stories","","","restaurant"," ,  "
"Twist of Tadka","","","restaurant"," ,  "
"Navakarnataka","","","books"," ,  "
"Sacred Heart Church Religious Stall","","","books"," ,  "
"Aiwas","","","bakery"," ,  "
"wholesale provisions store","","","convenience"," ,  "
"Sagar Clinic","","","clinic"," ,  "
"Muthu Store","","","convenience","147 ,  "
"Take a Break","","","fast_food"," ,  "
"Veterinary College Boys Hostel Bakery","","","bakery"," ,  "
"Diacure Diagnostics","","","clinic"," ,  "
"Fenesta","","","furniture"," ,  "
"Phobidden Fruit","","","restaurant"," ,  "
"Pathan Sir","","","restaurant"," ,  "
"Salt Canvas","","","restaurant"," ,  "
"The Fatty Bao","","","restaurant"," ,  "
"Goli Vada Pav","","","fast_food"," 27th Main Road, HSR Layout, BENGALURU "
"Nandini Milk Parlor","","","bakery"," ,  "
"Specialists Dental Center","","","dentist"," ,  "
"Sree VIdya Stores","","","convenience"," ,  "
"Maria's Goan Kitchen","","","restaurant"," ,  "
"24th Main Pan Indian Bistro","+91 99000 92564","https://www.24thmain.com","restaurant"," ,  "
"Damro","","","furniture"," Outer Ring Road,  "
"Zaitoon","","","restaurant"," 24th Main,  "
"Sea Salt","","","restaurant"," 24th Main,  "
"Egg Factory","","","restaurant"," Outer Ring Road,  "
"Pipe Yard","","","cafe"," Outer Ring Road,  "
"CGHS Dispensary","","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","clinic"," ,  560038"
"Cool Club","","","clothes"," ,  "
"Astha Centre of Autism","","","clinic"," ,  "
"House of Tamara","","","clothes"," ,  "
"Kerala Ayurvedic clinic","","","clinic"," ,  "
"Slurp Cooking Studio","","","restaurant"," ,  "
"Tycoons","","","bar"," ,  "
"Hangover","","","bar"," ,  "
"Citrus","","","restaurant"," ,  "
"Divas and dudes","","","spa;saloon;cafe"," ,  "
"The Reservoire","","","bar"," ,  "
"Suta","","","bakery"," ,  "
"Delhi Highway","","","restaurant"," ,  "
"Dr.Agarwal Eye & Dental Hospital","","","hospital"," ,  "
"Beri-to","","","fast_food"," ,  "
"Apollo Pharmacy","","","pharmacy"," , Bengaluru 560038"
"SRL Diagnostics","","","hospital"," ,  "
"Bijoor Biryani House","","","restaurant"," ,  "
"Ram Bhog","","","fast_food"," ,  "
"RK Food Max","","","bakery"," ,  "
"Viajaya Sai Andhra Hotel","","","restaurant"," ,  "
"Sri Akshaya Upahar","","","restaurant"," ,  "
"Diamond Restaurant","","","restaurant"," ,  "
"Srinivasa Ultrasound Scan Centre","","","clinic"," ,  "
"Dr Raos Maternity Hospital","","","hospital"," ,  560079"
"Imperial Blue Garden Bar and Restaurant","","","bar"," ,  "
"Sagar Chandramma Hospitals","","","hospital"," ,  "
"Pavitra Medicals","","","pharmacy"," ,  "
"BN Sreekantiah And Sons","","","convenience","22 Gandhi Bazaar Main Road,  "
"Priyanka Silks","","","clothes"," ,  "
"Timepass Dinner","","","restaurant"," ,  "
"South Inn","","","restaurant"," ,  "
"Trilife Hospital","","","hospital"," ,  560043"
"Punjab Bistro","+91 72049 11183; +91 80 4546 1987","","restaurant","62/2 Outer Ring Road,  "
"Madhura Bhavan","","","restaurant"," ,  "
"Garden By Su","+918971228404","https://www.gardenbysu.com/","restaurant","499/32-4 9th Main, 46th Cross Rd, 5th Block, Jayanagar, Bangalore 560078"
"Namma Adda","","","restaurant"," ,  "
"Basavangudi Medical Centre","","","pharmacy"," ,  "
"South Point","","","bar"," ,  "
"Fruit xtracts","","","cafe"," ,  "
"Sangeetha","","","electronics"," ,  "
"Aishwarya Supermarket","","","supermarket"," ,  "
"Pot-O-Noodles","","","restaurant"," ,  "
"Appu's Kitchen","","","fast_food"," ,  "
"Sarayu Fine Dine","","","restaurant"," ,  "
"New Akshaya Mini Bazaar","+91 87620 59892","","supermarket","144/39 11th Cross Road,  560010"
"Simply Organics","","","supermarket"," ,  "
"Blitz Zone","","","internet_cafe","1190 18th C Main Road, Rajajinagar 5th Block, Bangalore 560010"
"Universal Pharma","","","pharmacy"," ,  "
"ಕೋಮಲ ರಿಫ್ರೆಷ್‌ಮೆಂಟ್ಸ್","","","restaurant"," ,  "
"Maruti Medicals and Genral Stores","","","pharmacy"," ,  "
"Dental Care Center","","","clinic"," ,  "
"Nikisha Elctricals and Electronics","","","electronics"," ,  "
"RR Enterprises","","","books"," ,  "
"AB EyeCare","","","clinic"," ,  "
"Juba Cafe","","","cafe"," ,  "
"Mankind Medical and Cosmetics","","","pharmacy"," ,  "
"Dream Wear","","","clothes"," ,  "
"Manoj Textiles","","","clothes"," ,  "
"Shivam Condiments","","","bakery"," ,  "
"Mango Bake and Shake","","","bakery"," ,  "
"GM Time Center Watch Repair","","","convenience"," ,  "
"Deluxe Bedding and Sofa center","","","convenience"," ,  "
"Sakshi Medical And General Stores","","","pharmacy"," ,  "
"Hemant Clinic","","","clinic"," ,  "
"Prem Fancy Store","","","convenience"," ,  "
"Sri Vinayaka Hot Chips","","","convenience"," ,  "
"Citrus Dress Materials","","","clothes"," ,  "
"Joy IceCream","","","cafe"," ,  "
"Nizam Collections","","","clothes"," ,  "
"Ganga Bookstore","","","books"," ,  "
"Time House","","","convenience"," ,  "
"Veena Collections","","","clothes"," ,  "
"Keishna Electricals","","","electronics"," ,  "
"Maruti Clinic","","","clinic"," ,  "
"Mohite Medicals","","","pharmacy"," ,  "
"Anjana Stationery","","","books"," ,  "
"Yakshini Condiments","","","convenience"," ,  "
"Kushal Medical Devices","","","pharmacy"," ,  "
"Goli Vadapav No.1","","","fast_food"," ,  "
"Shree Sai Appliances","","","electronics"," ,  "
"Chitra Darshini","","","restaurant"," ,  "
"Shree Basaveswara Frame Works","","","convenience"," ,  "
"A.K Medicals","","","pharmacy"," ,  "
"Take 5","","","electronics"," ,  "
"Fashion House","","","clothes"," ,  "
"Seek n Hide Tours and Travels","","","convenience"," ,  "
"Chaitra Pan","","","convenience"," ,  "
"Sriram Hoke Appliances","","","electronics"," ,  "
"HMS Fast Food","","","fast_food"," ,  "
"Om Ganesh Juice Center","","","convenience"," ,  "
"Durga Pan Bhandar","","","convenience"," ,  "
"Mummy Daddy Garments","","","clothes"," ,  "
"Maharaja Hi Fashion","","","clothes"," ,  "
"Bangalore Time Center","","","convenience"," ,  "
"Anagha Polyclinic","","","clinic"," ,  "
"Anagha Pharma","","","pharmacy"," ,  "
"Sleep Good Matress","","","convenience"," ,  "
"Vinay Bangle Store","","","convenience"," ,  "
"Gandhi Dental Clinic","","","clinic"," ,  "
"Pavithra Enterprises","","","convenience"," ,  "
"Cool Corner","","","cafe"," ,  "
"Rudra Medicals and General Store","","","pharmacy"," ,  "
"Vignesh Lab and Diagnostics","","","hospital"," ,  "
"Reliance Smart Bazaar","","","supermarket"," ,  "
"ಮ್ಯಾಂಗಲೋರ್ ಪರ್ಲ್","","","restaurant"," ,  "
"Upsouth","","","restaurant"," ,  "
"Swadist","","","restaurant"," ,  "
"Apollo Cradle","","https://www.apollocradle.com/","hospital"," ,  560095"
"Soundarya Iyengar Bakery","","","bakery"," ,  "
"Shree Vinayaka Clinic","","","doctors"," Govt. High School Road,  560057"
"Sri Krishna Medicals","","","pharmacy","172 Govt. High School Road,  560057"
"Harsha Bakery and Sweets","9986251338","","cafe"," ,  "
"Pradhan Mantri Bharatiya Jan Aushadi Kendra","","","pharmacy"," ,  "
"Sudarshan Medicals","","","pharmacy"," ,  "
"New Kolkata Food","","","fast_food"," ,  "
"Shiva Kumaraswamy Building","","","hospital"," ,  "
"Mishmash","","","bar"," ,  "
"CCD","","","cafe","45/6 6th Cross Road, Bangalore 500006"
"Tasty Bites","","","bakery"," ,  "
"Surya bakery","","","bakery"," ,  "
"Sangam sweets","","","bakery"," ,  "
"Krishna medicals","","","pharmacy"," ,  "
"Navkar medicals","","","pharmacy"," ,  "
"Iyengar bakery","","","bakery"," ,  "
"Ujwal Bar and Restaurant","","","bar"," ,  "
"Al Bek","","","restaurant"," ,  "
"Hong Kong Noodles","","","restaurant"," Thambuchettypalya Main Road,  "
"Domino's","","","fast_food"," Old Madras Road,  "
"Al Amanah Cafe","","","cafe"," ,  "
"Royal Afghan","","","restaurant"," ,  "
"Naveen Electronics","+91 94492 55733","","electronics"," ,  "
"Buttercups","","","clothes"," ,  "
"Internet & Print Out Xerox","","","internet_cafe"," Church street,  "
"Myo Medex - Ace Speciality Clinic","","","hospital"," ,  "
"Stanford Speciality Hospital","080 6566 6689","","hospital"," Kasvanahalli Road, Behind State Bank of Mysore, Sarjapur Road, Kaikondrahalli, Bangalore 560035"
"Wolfish","","","restaurant"," Church street,  "
"Sri Sai Sagar","","","restaurant"," ,  "
"MedPlus","+91-080-41621415","https://www.medplusindia.com/","pharmacy","Shop No.4, No.71/1A Opp South India Bank, Sarjapur Main Road, Kaikondrahalli, Bangalore 560035"
"Dr Mohan Nursing Home","+91-80-42119084","","hospital","No.7/1 Sarjapur Road, Bangalore 560035"
"Sparsh Clinic","+91-99000 19567","","hospital","4/21 Kasavanahalli Road, Bengaluru 560035"
"Raksha Orthopaedic And Multi Speciality Centre","+91-74115 27777","","hospital","9 IAS layout Lake Shore HomesRoad, Amrita college road, off sarjapur road, Kasavanahalli, Bangalore 560035"
"Sai Clinic","+91-80 6608 5255","","clinic"," Rainbow Residency,  Junnasandra, Bangalore 560035"
"Piles and Fistula Clinic","+91-80 2523 1126","","clinic","336 Ground Floor Varthur Road, Marathahalli, Bangalore 560037"
"Narayana Nethralaya","","","hospital"," ,  "
"Naadi Ayurveda Center","+91-9980016089","","hospital","No. 65/1, 1st Floor Doddakannelli, Sarjapur Road, Bangalore 560035"
"Kottakkal Arya Vaidya Sala","+91-80 6450 4434","https://aryavaidyasala.com/","hospital"," Service Rd, Agara, Iblur Village, Bellandur, Bengaluru 560103"
"Sri Sai Dental & Medical Care","+91-8041467774","","clinic","2nd Floor Chandra Mension, Bellandur, Sarjapur Main Road, Bangalore 560035"
"Ittina Wellness Centre","+91-80 4110 1898","https://www.ittinawellness.com/","clinic","No. 18/2A Ambalipura, Sarjapur Main Road, Bangalore 560102"
"Carewell Homoeo Clinic","+91-96631 22267","","clinic","3/1 Sarjapur Main Road, Carmelaram, Hadosiddapura, Chikkakannalli, Bengaluru 560035"
"Shaivi Homeopathic Clinic","+91-97408 33100","","clinic","211 Palm Ave, Green Glen Layout, Bangalore 560103"
"Dr. Arpita Agarwal Clinic","+91-080 6741 7785","","clinic","309 Mahaveer Cottage, Off Sarjapur Road, Bangalore 560068"
"Vaatsalya Homeopathy Clinic","+91-80 6741 7786","","clinic","#52 Kaikondrahalli,Sarjapur main road,, Bangalore 560035"
"32Smiles Multispecialty Dental clinic","+91-93434 33222","https://www.32smilesdentalclinics.com/","dentist","No. 5, 1st Floor, Bellandur Gate, Sarjapura Road, Bengaluru 560103"
